doctit,length,docs,preamble,amndamaj,amndapct
0.0,10227.0,1.0,0.0,,
0.0,13826.0,1.0,0.0,0.0,0.0
0.0,18064.0,1.0,0.0,,
0.0,8740.0,1.0,0.0,0.0,0.0
0.0,27181.0,1.0,0.0,0.0,0.0
0.0,38464.0,1.0,0.0,,
0.0,12514.0,1.0,0.0,,
0.0,22257.0,1.0,0.0,0.0,0.0
0.0,17318.0,1.0,0.0,0.0,0.0
0.0,41366.0,1.0,1.0,,
0.0,17354.0,1.0,0.0,0.0,0.0
0.0,35832.0,1.0,0.0,0.0,
0.0,10806.0,1.0,0.0,0.0,0.0
0.0,27643.0,1.0,0.0,,
0.0,32354.0,1.0,0.0,0.0,0.0
0.0,13278.0,1.0,0.0,0.0,0.0
0.0,16119.0,1.0,1.0,0.0,0.0
0.0,39629.0,1.0,0.0,0.0,
0.0,11386.0,1.0,0.0,0.0,0.0
0.0,13632.0,1.0,0.0,0.0,0.0
0.0,39375.0,1.0,0.0,,
0.0,5454.0,1.0,0.0,,
0.0,30713.0,3.0,1.0,,
0.0,64488.0,2.0,0.0,0.0,0.0
0.0,13869.0,1.0,0.0,1.0,
0.0,13641.0,1.0,0.0,0.0,
0.0,10030.0,1.0,0.0,,
0.0,8936.0,1.0,0.0,0.0,0.0
0.0,8444.0,1.0,0.0,0.0,
0.0,19565.0,2.0,0.0,,
0.0,32132.0,1.0,0.0,0.0,0.0
0.0,14445.0,1.0,0.0,0.0,0.0
0.0,1600.0,1.0,0.0,0.0,0.0
0.0,25821.0,1.0,1.0,0.0,
0.0,10960.0,1.0,0.0,0.0,0.0
0.0,46902.0,1.0,0.0,1.0,
0.0,7308.0,1.0,0.0,0.0,0.0
0.0,13633.0,1.0,0.0,0.0,0.0
0.0,16705.0,1.0,0.0,0.0,0.0
0.0,11788.0,1.0,0.0,0.0,0.0
0.0,10898.0,1.0,0.0,0.0,0.0
0.0,19759.0,1.0,0.0,0.0,0.0
0.0,37006.0,1.0,1.0,0.0,0.0
0.0,14580.0,2.0,0.0,0.0,0.0
0.0,19285.0,1.0,0.0,0.0,0.0
0.0,6221.0,2.0,1.0,1.0,
0.0,6666.0,1.0,0.0,0.0,0.0
0.0,36080.0,1.0,0.0,0.0,0.0
0.0,29970.0,1.0,0.0,0.0,0.0
0.0,54555.0,1.0,0.0,0.0,0.0
0.0,20428.0,1.0,0.0,0.0,0.0
0.0,22823.0,1.0,1.0,0.0,0.0
0.0,5575.0,1.0,0.0,,
0.0,6753.0,1.0,0.0,0.0,
0.0,11344.0,1.0,0.0,0.0,0.0
0.0,48604.0,1.0,0.0,,
0.0,13630.0,1.0,0.0,0.0,0.0
0.0,40773.0,1.0,0.0,0.0,0.0
0.0,12640.0,1.0,1.0,0.0,0.0
0.0,10180.0,2.0,0.0,0.0,
0.0,12230.0,1.0,0.0,0.0,0.0
0.0,43465.0,1.0,0.0,,
0.0,11490.0,1.0,0.0,0.0,0.0
0.0,27379.0,1.0,0.0,,
0.0,53985.0,1.0,0.0,0.0,0.0
0.0,26989.0,1.0,0.0,0.0,0.0
0.0,33737.0,1.0,0.0,,
0.0,28692.0,1.0,0.0,0.0,0.0
0.0,11886.0,1.0,0.0,0.0,0.0
0.0,7820.0,1.0,0.0,0.0,0.0
0.0,46221.0,1.0,0.0,0.0,0.0
0.0,18488.0,1.0,0.0,0.0,0.0
0.0,23434.0,1.0,0.0,0.0,0.0
0.0,15247.0,1.0,0.0,0.0,0.0
0.0,4089.0,1.0,1.0,1.0,
